item,itemLabel,date,deaths,country,countryLabel,latitude,longitude,coord
http://www.wikidata.org/entity/Q21608838,2015 Senegal mid-air collision,2015-09-05T00:00:00Z,7,,,13.53,-12.48,Point(-12.48 13.53)
http://www.wikidata.org/entity/Q24091473,EgyptAir Flight 804,2016-05-19T00:00:00Z,10,,,33.6757,28.7924,Point(28.7924 33.6757)
http://www.wikidata.org/entity/Q24091473,EgyptAir Flight 804,2016-05-19T00:00:00Z,56,,,33.6757,28.7924,Point(28.7924 33.6757)
http://www.wikidata.org/entity/Q24091473,EgyptAir Flight 804,2016-05-19T00:00:00Z,66,,,33.6757,28.7924,Point(28.7924 33.6757)
http://www.wikidata.org/entity/Q24233838,2011 South Africa P.166 Albatross double CFIT,,,,,-25.08333333,30.18333333,Point(30.18333333 -25.08333333)
http://www.wikidata.org/entity/Q24936962,Q24936962,1952-02-17T00:00:00Z,31,,,37.63405556,13.31486111,Point(13.31486111 37.63405556)
http://www.wikidata.org/entity/Q24941578,Q24941578,1969-12-11T00:00:00Z,,,,52.7766,18.0986,Point(18.0986 52.7766)
http://www.wikidata.org/entity/Q25380855,Air Manila Flight 702,1976-06-04T00:00:00Z,46,,,13.49166667,144.81666667,Point(144.81666667 13.49166667)
http://www.wikidata.org/entity/Q25399833,Q25399833,1976-03-24T00:00:00Z,8,,,11.31666667,42.93333333,Point(42.93333333 11.31666667)
http://www.wikidata.org/entity/Q25399834,Q25399834,1982-02-03T00:00:00Z,36,,,11.83611111,42.24861111,Point(42.24861111 11.83611111)
http://www.wikidata.org/entity/Q25399834,Q25399834,1982-02-03T00:00:00Z,36,,,11.83611111,42.24861111,Point(42.24861111 11.83611111)
http://www.wikidata.org/entity/Q25400024,Ascoli mid air collision,2014-08-19T00:00:00Z,4,,,42.85444444,13.51138889,Point(13.51138889 42.85444444)
http://www.wikidata.org/entity/Q25413045,Q25413045,1938-07-22T00:00:00Z,,,,47.55,25.883333,Point(25.883333 47.55)
http://www.wikidata.org/entity/Q28721006,Flying Tiger Line Flight 183,1962-12-14T00:00:00Z,,,,34.19833333,-118.39527778,Point(-118.39527778 34.19833333)
http://www.wikidata.org/entity/Q16662462,Q16662462,2000-10-25T00:00:00Z,,,,41.66,41.820222,Point(41.820222 41.66)
http://www.wikidata.org/entity/Q4205182,Q4205182,2012-06-11T00:00:00Z,13,,,59.48941668,60.43125001,Point(60.43125001 59.48941668)
http://www.wikidata.org/entity/Q4217215,1972 Svetlogorsk An-24 crash,1972-05-16T00:00:00Z,,,,54.94386111,20.1625,Point(20.1625 54.94386111)
http://www.wikidata.org/entity/Q4217224,Aeroflot Flight 2808,1992-08-27T00:00:00Z,84,,,56.924722222222,40.988888888889,Point(40.988888888 56.924722222)
